accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa,auc,method,fold,repeat,split,n_train,n_test,mpca_explained,mpca_recon_err_test,mpca_fit_sec
0.46511627906976744,0.4632034632034632,0.4604473540643753,0.4616145853157233,-0.07383279044516833,0.5411255411255411,Tucker+LogReg,19,3,4,174,43,,,
0.6590909090909091,0.6590909090909091,0.6546310832025117,0.6546310832025118,0.31818181818181823,0.6177685950413223,Tucker+LogReg,20,4,0,173,44,,,
0.5681818181818182,0.5681818181818181,0.5661650233523612,0.5661650233523612,0.13636363636363635,0.6756198347107439,Tucker+LogReg,21,4,1,173,44,,,
0.5116279069767442,0.5119047619047619,0.5116279069767442,0.5116279069767442,0.023783783783783874,0.5606060606060606,Tucker+LogReg,22,4,2,174,43,,,
0.5581395348837209,0.5562770562770563,0.5542825968357883,0.5552468313477714,0.1129207383279045,0.5865800865800865,Tucker+LogReg,23,4,3,174,43,,,
0.5813953488372093,0.5844155844155844,0.575657894736842,0.5745104039167687,0.16774193548387095,0.5562770562770563,Tucker+LogReg,24,4,4,174,43,,,
0.5227272727272727,0.5227272727272727,0.5204981837052414,0.5204981837052413,0.045454545454545414,0.493801652892562,PCA+MLP,0,0,0,173,44,,,
0.5,0.5,0.45982142857142855,0.4598214285714285,0.0,0.42355371900826444,PCA+MLP,1,0,1,173,44,,,
0.5116279069767442,0.5,0.3384615384615385,0.34633273703041145,0.0,0.6038961038961039,PCA+MLP,2,0,2,174,43,,,
0.5348837209302325,0.5378787878787878,0.5285087719298246,0.5272337821297429,0.07526881720430101,0.5822510822510822,PCA+MLP,3,0,3,174,43,,,
0.5581395348837209,0.5638528138528138,0.5328759291023442,0.5303495685242066,0.12620320855614975,0.5064935064935066,PCA+MLP,4,0,4,174,43,,,
0.5454545454545454,0.5454545454545454,0.5416666666666667,0.5416666666666667,0.09090909090909094,0.5206611570247934,PCA+MLP,5,1,0,173,44,,,
0.5227272727272727,0.5227272727272727,0.38193979933110367,0.3819397993311037,0.045454545454545414,0.5,PCA+MLP,6,1,1,173,44,,,
0.5116279069767442,0.5162337662337663,0.49411764705882355,0.4919288645690835,0.032154340836012874,0.47619047619047616,PCA+MLP,7,1,2,174,43,,,
0.6744186046511628,0.6742424242424242,0.6742424242424242,0.6744186046511628,0.3484848484848485,0.6926406926406926,PCA+MLP,8,1,3,174,43,,,
0.5348837209302325,0.5346320346320346,0.5346320346320346,0.5348837209302325,0.06926406926406925,0.5541125541125541,PCA+MLP,9,1,4,174,43,,,
0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.609504132231405,PCA+MLP,10,2,0,173,44,,,
0.4772727272727273,0.47727272727272724,0.3574603174603174,0.3574603174603175,-0.045454545454545414,0.6425619834710744,PCA+MLP,11,2,1,173,44,,,
0.5116279069767442,0.5227272727272727,0.37681159420289856,0.3700707785642063,0.0444444444444444,0.6103896103896104,PCA+MLP,12,2,2,174,43,,,
0.4883720930232558,0.4945887445887446,0.4525462962962963,0.4492894056847545,-0.010683760683760646,0.5346320346320346,PCA+MLP,13,2,3,174,43,,,
0.4883720930232558,0.48376623376623373,0.4649321266968326,0.4675365673997685,-0.0327510917030569,0.525974025974026,PCA+MLP,14,2,4,174,43,,,
0.5454545454545454,0.5454545454545454,0.49425287356321834,0.4942528735632184,0.09090909090909094,0.5785123966942148,PCA+MLP,15,3,0,173,44,,,
0.38636363636363635,0.38636363636363635,0.386046511627907,0.386046511627907,-0.2272727272727273,0.40082644628099173,PCA+MLP,16,3,1,173,44,,,
0.37209302325581395,0.3722943722943723,0.37209302325581395,0.37209302325581395,-0.25513513513513497,0.45021645021645024,PCA+MLP,17,3,2,174,43,,,
0.5813953488372093,0.5800865800865801,0.5793478260869566,0.5800303336703742,0.16052060737527107,0.6688311688311689,PCA+MLP,18,3,3,174,43,,,
0.5116279069767442,0.5151515151515151,0.5019305019305019,0.5003142677561283,0.03007518796992481,0.6125541125541125,PCA+MLP,19,3,4,174,43,,,
