accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa,auc,method,fold,n_train,n_test
0.7714285714285715,0.6,0.5977011494252873,0.7110016420361247,0.26315789473684215,0.5840000000000001,Tucker(arinmis)+MLP,12,140,35
0.7428571428571429,0.76,0.72,0.7542857142857142,0.4521739130434782,0.74,Demo+LogReg,12,140,35
0.6285714285714286,0.5900000000000001,0.5790934320074006,0.6409409277124356,0.1651376146788992,0.7000000000000001,Tucker+Demo+MLP,12,140,35
0.7142857142857143,0.5,0.4166666666666667,0.5952380952380953,0.0,0.5,Dummy(cogunluk),12,140,35
0.7714285714285715,0.69,0.7008547008547008,0.7631257631257632,0.4042553191489362,0.8240000000000001,Tucker+MLP,13,140,35
0.7142857142857143,0.5,0.4166666666666667,0.5952380952380953,0.0,0.696,Tucker(arinmis)+MLP,13,140,35
0.7428571428571429,0.73,0.7086031452358927,0.7514206422624554,0.42201834862385323,0.778,Demo+LogReg,13,140,35
0.7142857142857143,0.71,0.6829710144927537,0.7256728778467908,0.375,0.84,Tucker+Demo+MLP,13,140,35
0.7142857142857143,0.5,0.4166666666666667,0.5952380952380953,0.0,0.5,Dummy(cogunluk),13,140,35
0.6285714285714286,0.6499999999999999,0.6080964685615848,0.6464870185800418,0.2479338842975206,0.748,Tucker+MLP,14,140,35
0.6571428571428571,0.64,0.6195652173913043,0.670807453416149,0.25,0.604,Tucker(arinmis)+MLP,14,140,35
0.8285714285714286,0.8500000000000001,0.8097826086956521,0.8354037267080745,0.625,0.878,Demo+LogReg,14,140,35
0.6,0.63,0.5833333333333333,0.619047619047619,0.20967741935483875,0.768,Tucker+Demo+MLP,14,140,35
0.7142857142857143,0.5,0.4166666666666667,0.5952380952380953,0.0,0.5,Dummy(cogunluk),14,140,35
