accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa,auc,method,fold,n_train,n_test
0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.5,Dummy(cogunluk),11,173,44
0.6046511627906976,0.604978354978355,0.6046511627906976,0.6046511627906976,0.2097297297297298,0.5995670995670994,Tucker+MLP,12,174,43
0.5116279069767442,0.5108225108225108,0.5105691056910568,0.5110985063339005,0.021668472372697756,0.5151515151515151,Tucker(arinmis)+MLP,12,174,43
0.6976744186046512,0.699134199134199,0.6970189701897019,0.6966912459822273,0.3969795037756203,0.7922077922077921,Demo+LogReg,12,174,43
0.627906976744186,0.6298701298701299,0.6260869565217391,0.6254802831142569,0.2586206896551724,0.577922077922078,Tucker+Demo+MLP,12,174,43
0.5116279069767442,0.5,0.3384615384615385,0.34633273703041145,0.0,0.5,Dummy(cogunluk),12,174,43
0.5581395348837209,0.5551948051948051,0.5493656922228352,0.5508279993329828,0.11099020674646354,0.5757575757575757,Tucker+MLP,13,174,43
0.5116279069767442,0.5097402597402597,0.5073649754500819,0.5084307083317475,0.019543973941368087,0.5627705627705628,Tucker(arinmis)+MLP,13,174,43
0.7209302325581395,0.7142857142857143,0.6928571428571428,0.695016611295681,0.4342105263157895,0.854978354978355,Demo+LogReg,13,174,43
0.46511627906976744,0.4642857142857143,0.46395663956639566,0.46453645931808146,-0.07150595882990252,0.4632034632034632,Tucker+Demo+MLP,13,174,43
0.5116279069767442,0.5,0.3384615384615385,0.34633273703041145,0.0,0.5,Dummy(cogunluk),13,174,43
0.5813953488372093,0.5757575757575758,0.5520833333333333,0.5547480620155039,0.15317286652078765,0.5714285714285714,Tucker+MLP,14,174,43
0.6511627906976745,0.6439393939393939,0.6098003629764065,0.6127548220993543,0.29198682766191,0.645021645021645,Tucker(arinmis)+MLP,14,174,43
0.6046511627906976,0.6028138528138528,0.6012002182214948,0.6020629543637955,0.2062975027144408,0.606060606060606,Demo+LogReg,14,174,43
0.46511627906976744,0.4686147186147186,0.4544953116381688,0.45272515039956907,-0.06229860365198703,0.5389610389610391,Tucker+Demo+MLP,14,174,43
0.5116279069767442,0.5,0.3384615384615385,0.34633273703041145,0.0,0.5,Dummy(cogunluk),14,174,43
